식품명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),식품중량
불고기전골,100g,104,5.96,4.34,10.38,5.3,296.0,19.49,1.18,0.4,803g
샤브샤브,100g,34,2.71,1.26,2.99,2.36,239.0,5.6,0.09,0.01,1686g
소고기전골,100g,37,3.39,1.96,1.41,0.42,232.0,5.6,0.19,0.01,1613g
만두전골,100g,57,3.61,2.23,5.55,0.7,250.0,5.84,0.55,0.01,100g
밀푀유나베,100g,55,4.13,3.11,2.52,1.5,397.0,7.99,0.39,0.06,1269g
버섯찌개,100g,42,3.68,1.3,3.85,1.1,323.0,4.14,0.33,0.03,400g
꽁치찌개,100g,118,8.0,7.77,4.07,1.97,432.0,21.11,1.63,0.97,300g
나베,100g,170,5.41,9.52,15.71,3.53,413.0,39.77,1.46,0.06,1166g
된장찌개,100g,110,7.71,6.33,5.44,1.73,381.0,5.22,1.46,0.16,695g
두부찌개,100g,55,5.4,2.7,2.4,0.57,374.0,3.57,0.53,0.0,300g
마라탕,100g,88,4.64,5.15,5.72,1.92,425.0,7.02,0.94,0.02,873g
어탕,100g,57,8.47,2.06,1.21,0.0,323.0,35.04,0.29,0.01,150g
연포탕,100g,54,9.49,0.9,2.02,0.02,234.0,105.75,0.18,0.01,1000g
올갱이국,100g,24,2.28,0.7,2.17,0.27,336.0,14.23,0.13,0.0,600g
전복탕,100g,33,4.47,0.5,2.63,0.22,296.0,48.56,0.1,0.0,600g
조개국,100g,29,4.0,0.56,1.84,0.24,290.0,16.25,0.11,0.0,550g
지리탕,100g,44,6.93,1.03,1.65,0.25,246.0,47.18,0.18,0.02,600g
초당순두부,100g,58,5.46,3.24,1.76,0.1,134.0,0.0,0.42,0.0,900g
해장국,100g,71,7.46,3.57,2.34,0.57,309.0,32.17,1.43,0.01,1000g
홍합탕,100g,29,3.68,0.57,2.28,0.0,303.0,25.13,0.14,0.01,100g
황태해장국,100g,30,4.08,1.13,0.95,0.25,256.0,25.05,0.18,0.0,600g
무국물,100g,3,0.16,0.0,0.55,0.36,2.0,0.0,0.0,0.0,
고등어찌개,100g,100,8.15,5.62,4.27,1.23,431.0,26.01,1.18,0.05,600g
매생이국,100g,24,2.0,0.56,2.68,0.08,284.0,1.32,0.12,0.02,500g
묵말이,100g,36,0.52,0.65,6.9,0.48,247.0,0.0,0.09,0.0,1300g
새우탕,100g,56,2.85,0.45,10.07,0.91,254.0,12.68,0.05,0.01,1589g
소탕,100g,58,5.1,3.57,1.27,0.02,236.0,0.0,0.39,0.01,150g
순대국,100g,68,5.44,4.13,2.16,0.0,188.0,30.75,1.37,0.02,800g
아구탕,100g,41,6.3,0.82,2.13,0.3,311.0,53.16,0.13,0.0,600g
쌀죽(흰죽),100g,52,1.33,0.15,11.43,0.0,29.0,0.0,0.05,0.0,100g
어죽,100g,69,2.55,0.94,12.6,1.23,263.0,4.43,0.21,0.0,800g
